lev_id,E_calc,J,P,lev_name
125,17.1692,15/2,0,id 125 E_c 17169.2 4f(4)3K2.6s_4K 15/2
126,17.2677,5/2,1,id 126 E_c 17267.7 4f(3)4I1.5d(2)3F2_6G 5/2
127,17.31922,13/2,1,id 127 E_c 17319.22 4f(3)4I1.5d(2)3F2_4K 13/2
128,17.36564,3/2,1,id 128 E_c 17365.64 4f(3)4I1.5d_5G.6s_6G 3/2
129,17.38115,13/2,0,id 129 E_c 17381.15 4f(4)3K2.6s_2K 13/2
130,17.43654,15/2,1,id 130 E_c 17436.54 4f(3)4I1.5d(2)3F2_4M 15/2
131,17.46955,15/2,1,id 131 E_c 17469.55 4f(3)4I1.5d_5K.6s_4K 15/2
132,17.52686,1/2,1,id 132 E_c 17526.86 4f(3)4I1.5d(2)3F2_6F 1/2
133,17.56669,17/2,0,id 133 E_c 17566.69 4f(4)5I1.5d_4K 17/2
134,17.57823,3/2,1,id 134 E_c 17578.23 4f(3)4I1.5d(2)3F2_6F 3/2
135,17.58052,5/2,1,id 135 E_c 17580.52 4f(3)4I1.5d_5G.6s_6G 5/2
136,17.64451,5/2,1,id 136 E_c 17644.51 4f(3)4I1.5d(2)3F2_6F 5/2
137,17.85127,17/2,1,id 137 E_c 17851.27 4f(3)4I1.5d_5L.6s_4L 17/2
138,17.853,13/2,1,id 138 E_c 17853.0 4f(3)4I1.5d(2)3F2_6H 13/2
139,17.89352,11/2,1,id 139 E_c 17893.52 4f(3)4I1.5d(2)3F2_4I 11/2
140,17.89397,7/2,1,id 140 E_c 17893.97 4f(3)4I1.5d_5G.6s_6G 7/2
141,17.93046,7/2,0,id 141 E_c 17930.46 4f(4)3H4.6s_4H 7/2
142,17.9617,15/2,0,id 142 E_c 17961.7 4f(4)5I1.5d_4I 15/2
143,18.13061,11/2,1,id 143 E_c 18130.61 4f(3)4I1.5d_5H.6s_6H 11/2
144,18.25138,9/2,0,id 144 E_c 18251.38 4f(4)3H4.6s_4H 9/2
145,18.3016,17/2,0,id 145 E_c 18301.6 4f(4)3K2.6s_4K 17/2
146,18.33447,11/2,1,id 146 E_c 18334.47 4f(3)4I1.5d(2)3P2_6K 11/2
147,18.45449,11/2,1,id 147 E_c 18454.49 4f(3)4I1.5d_3I.6s_4I 11/2
148,18.57943,15/2,1,id 148 E_c 18579.43 4f(3)4I1.5d_5I.6s_6I 15/2
149,18.58571,7/2,1,id 149 E_c 18585.71 4f(3)4I1.5d_3H.6s_4H 7/2
150,18.78764,7/2,1,id 150 E_c 18787.64 4f(3)4I1.5d(2)3P2_6I 7/2
151,18.79601,9/2,1,id 151 E_c 18796.01 4f(3)4I1.5d_5I.6s_4I 9/2
152,18.84215,15/2,0,id 152 E_c 18842.15 4f(4)3K2.6s_2K 15/2
153,18.85314,5/2,0,id 153 E_c 18853.14 4f(4)5F1.5d_6H 5/2
154,18.89121,17/2,1,id 154 E_c 18891.21 4f(3)4I1.5d(2)3F2_4M 17/2
155,19.0069,11/2,1,id 155 E_c 19006.9 4f(3)4I1.5d(2)3F2_4H 11/2
156,19.11672,5/2,1,id 156 E_c 19116.72 4f(3)4I1.5d(2)3F2_4G 5/2
157,19.22369,9/2,1,id 157 E_c 19223.69 4f(3)4I1.5d_5G.6s_6G 9/2
158,19.28467,19/2,1,id 158 E_c 19284.67 4f(3)4I1.5d(2)3F2_4L 19/2
159,19.3063,7/2,0,id 159 E_c 19306.3 4f(4)5F1.5d_6H 7/2
160,19.33769,17/2,1,id 160 E_c 19337.69 4f(3)4I1.5d_5K.6s_4K 17/2
161,19.34544,15/2,1,id 161 E_c 19345.44 4f(3)4I1.5d(2)3F2_6H 15/2
162,19.3847,3/2,0,id 162 E_c 19384.7 4f(4)5G1.6s_6G 3/2
163,19.40191,5/2,0,id 163 E_c 19401.91 4f(4)5G1.6s_6G 5/2
164,19.4598,7/2,1,id 164 E_c 19459.8 4f(3)4I1.5d(2)1D2_4H 7/2
165,19.473,11/2,1,id 165 E_c 19473.0 4f(3)4I1.5d_3K.6s_4K 11/2
166,19.50441,7/2,1,id 166 E_c 19504.41 4f(3)4I1.5d_5H.6s_4H 7/2
167,19.5414,9/2,1,id 167 E_c 19541.4 4f(3)4I1.5d(2)3F2_6G 9/2
168,19.5936,13/2,1,id 168 E_c 19593.6 4f(3)4I1.5d_5H.6s_6H 13/2
169,19.59681,5/2,1,id 169 E_c 19596.81 4f(3)4I1.5d(2)1D2_4G 5/2
170,19.61578,7/2,1,id 170 E_c 19615.78 4f(3)4I1.5d(2)3F2_6F 7/2
171,19.6465,13/2,1,id 171 E_c 19646.5 4f(3)4I1.5d(2)3F2_4I 13/2
172,19.69353,3/2,0,id 172 E_c 19693.53 4f(4)5F1.5d_6G 3/2
173,19.76075,11/2,0,id 173 E_c 19760.75 4f(4)3H4.6s_4H 11/2
174,19.89478,9/2,0,id 174 E_c 19894.78 4f(4)5F1.5d_6H 9/2
175,19.93293,9/2,1,id 175 E_c 19932.93 4f(3)4I1.5d(2)3F2_6F 9/2
176,19.9974,5/2,0,id 176 E_c 19997.4 4f(4)5F1.5d_6G 5/2
177,20.03432,19/2,1,id 177 E_c 20034.32 4f(3)4I1.5d_5L.6s_4L 19/2
178,20.04379,9/2,0,id 178 E_c 20043.79 4f(4)3H4.6s_2H 9/2
179,20.08442,1/2,0,id 179 E_c 20084.42 4f(4)5S0.5d_6D 1/2
180,20.2071,13/2,1,id 180 E_c 20207.1 4f(3)4I1.5d_3K.6s_4K 13/2
181,20.20776,15/2,1,id 181 E_c 20207.76 4f(3)4I1.5d_3I.6s_4I 15/2
182,20.22567,17/2,1,id 182 E_c 20225.67 4f(3)4I1.5d(2)1D2_4L 17/2
183,20.24932,3/2,0,id 183 E_c 20249.32 4f(4)5S0.5d_6D 3/2
184,20.31026,11/2,1,id 184 E_c 20310.26 4f(3)4I1.5d(2)3F2_6G 11/2
185,20.37732,17/2,1,id 185 E_c 20377.32 4f(3)4I1.5d_5I.6s_6I 17/2
186,20.38503,3/2,1,id 186 E_c 20385.03 4f(3)4I1.5d(2)3F2_4F 3/2
