wn_calc,gA_calc,upper_lev_id,lower_lev_id
133.2865,689100,810,10
133.2769,3565000,749,0
133.2765,285900,748,0
133.2566,21610000,747,0
133.2372,1405000,840,22
133.2164,4.181e+08,781,5
133.2122,791900,786,6
133.2025,39720000,746,0
133.1911,72830000,848,33
133.1898,588800,772,3
133.1535,41840000,823,18
133.1363,17270000,806,8
133.1175,453000,744,0
133.1155,695800,847,33
133.1096,1706000,743,0
133.1069,20390000,869,43
133.0968,530000,757,1
133.0912,1.921e+08,780,5
133.0768,2.613e+08,805,8
133.06,64190000,784,6
133.0467,1.252e+09,841,23
133.0223,15480000,803,8
132.974,2.989e+08,869,44
132.9623,5.52e+08,778,5
132.9549,12460000,810,11
132.9334,1.854e+08,845,30
132.847,1.4e+08,781,6
132.8467,2.875e+08,841,24
132.8262,6204000,808,10
132.7559,48050000,776,5
132.7523,1.47e+09,838,22
132.7519,1.611e+09,869,45
132.7234,29920000,773,4
132.7022,2.273e+08,779,6
132.668,22290000,846,33
132.6043,82900000,781,7
132.6033,12120000,845,32
132.5929,1.568e+08,778,6
132.5902,2.97e+08,868,43
132.5556,3799000,772,4
132.5415,11300000,753,1
132.5268,1480000,752,1
132.4953,367500,807,10
132.4946,39520000,808,11
132.4841,574100,835,21
132.4595,2.014e+08,779,7
132.4573,8.603e+08,868,44
132.4476,518700,757,2
132.4443,332600,770,4
132.387,1.196e+08,801,8
132.3865,3.37e+08,776,6
132.3548,209100,814,12
132.3527,2.686e+08,837,22
132.3525,18340000,750,1
132.3336,3.906e+08,867,43
132.3325,10720000,749,1
132.3321,177000,748,1
132.3302,38810000,845,33
132.3122,8829000,747,1
132.2821,36350000,806,9
132.2815,106300,849,35
132.2581,817800,746,1
132.2554,24500000,844,32
132.2415,80340000,775,6
132.2226,17620000,805,9
132.2221,38660000,773,5
132.2038,31440000,804,9
132.199,199800,842,25
132.1802,21360000,745,1
132.1798,10330000,777,7
132.1731,1370000,744,1
132.1681,1.623e+08,803,9
132.1652,1240000,743,1
132.1637,77070000,807,11
132.1438,76880000,776,7
132.1169,1.095e+08,840,25
132.0975,2108000,839,25
132.095,4.393e+08,837,23
132.079,65190000,841,26
132.0543,684800,772,5
132.0407,3396000,741,1
132.0281,30680000,836,22
131.9988,1.813e+08,775,7
131.9823,1.078e+08,844,33
131.9593,58300000,843,32
131.9488,398600,771,5
131.943,3134000,770,5
131.9301,6356000,834,20
131.8964,75380000,774,7
131.8691,6260000,740,1
131.8527,7295000,773,6
131.8031,1582000,848,35
131.7774,1.238e+08,832,19
131.7704,1.411e+08,836,23
131.7267,221600,812,12
131.7033,8692000,750,2
131.689,9436000,806,10
131.6833,7954000,749,2
131.6797,2.959e+08,841,27
131.663,2879000,747,2
131.6191,6734000,766,5
131.6132,102800,812,13
131.6107,1.492e+08,804,10
131.6089,522300,746,2
131.5794,1013000,771,6
131.575,10030000,803,10
131.5736,731600,770,6
131.5704,1.589e+08,836,24
131.5547,157100,834,21
131.5511,18040000,802,9
131.5402,1853000,769,6
131.5396,5482000,796,8
131.5328,33660000,801,9
131.5317,213300,763,4
131.531,2017000,745,2
131.5269,52500000,838,26
131.516,1059000,743,2
131.4896,33250000,742,2
131.4844,2818000,764,5
131.4182,7871000,832,20
131.3915,574100,741,2
131.3574,2543000,806,11
