L1,L2,wn,wn_unc,I_obs,snr
21,340,42.5001988,2.835e-06,1656.704549,268
27,348,42.5068683,5.205e-06,4977.013513,425
310,86,42.5076903,3.54e-06,759.4438657,212
307,74,42.569883,0.001,1277.404898,355
6,300,42.5873001,3.99e-06,11644.45266,2080
20,334,42.5924345,3.135e-06,10327.70315,1541
21,335,42.6024815,8.625e-06,24651.30535,1307
27,349,42.6218517,3.72e-06,16197.06213,1943
26,347,42.6376078,9.405e-06,23215.72515,1131
7,302,42.6440822,3.345e-06,5958.566797,1240
301,58,42.6570975,2.346428571e-05,82.48341285,14
308,80,42.6614918,0.001,1591.744273,525
33,365,42.662989,1.239705882e-05,331.1555196,34
32,363,42.6807725,1.98125e-05,252.7975697,24
21,339,42.739583,0.001,37895.40408,804
33,367,42.7451808,4.185e-06,2422.573069,252
21,338,42.7602272,9.57e-06,66342.44106,3071
306,65,42.7708748,3.765e-06,1560.225645,422
307,76,42.7723364,1.516666667e-05,192.9807176,27
19,333,42.7768284,1.2225e-05,17371.48157,629
7,303,42.7908929,2.955e-06,3650.375679,831
308,84,42.8223003,6.18e-05,26.91334472,5
309,86,42.8530567,0.001,2786.622176,700
6,302,42.8987138,4.455e-06,5077.555835,781
301,61,42.9458203,0.001,77.68001106,10
20,336,42.9481357,3.87e-06,19007.42831,2162
299,56,42.9569227,3.816666667e-05,55.29061478,9
3,294,42.970331,0.001,11187.86718,548
19,334,42.9772273,0.001,137665.9118,2592
21,342,42.9939274,2.625e-05,118.2254685,10
4,298,43.0101213,0.001,8288.176115,487
307,80,43.0108767,0.001,1963.699754,604
17,319,43.0116443,0.001,5840.579289,341
26,349,43.0529692,8.91e-06,5180.129247,132
307,79,43.0576879,6.21e-05,25.0939039,5
306,71,43.0673988,3.21e-06,4326.807816,1326
306,70,43.0904012,2.170588235e-05,114.7314074,17
22,346,43.1348771,7.692857143e-05,176.371182,7
20,339,43.144692,3.795e-06,54862.48778,6358
20,338,43.165311,3.345e-06,1056.361822,139
307,84,43.1716575,2.30625e-05,104.8566972,16
7,305,43.1837399,9.555e-06,16197.06213,1099
32,365,43.189728,5.16e-06,5180.129247,426
308,86,43.1916932,0.001,159.5873401,19
6,304,43.2008762,4.8e-06,21863.74662,3280
16,316,43.2093141,9.54e-06,8540.588625,389
300,61,43.2159023,1.855263158e-05,124.2869666,19
297,56,43.2242886,8.707317073e-06,3761.546138,41
16,317,43.2288902,9.6e-06,8043.223521,359
301,64,43.2419214,0.001,358.7364085,93
5,301,43.2466994,4.425e-06,27517.71146,4533
