lev_id,E_calc,J,P,lev_name
268,146.6663,3.0,1,80 3d7.(2F).6s 1F  3.0
269,147.3115,1.0,1,78 3d7.(2D1).4d 3S  1.0
270,148.3798,1.0,1,76 3d7.(2D1).4d 1P  1.0
271,148.3832,3.0,1,79 3d7.(2D1).4d 3G  3.0
272,148.5403,4.0,1,78 3d7.(2D1).4d 3G  4.0
273,148.7618,5.0,1,78 3d7.(2D1).4d 3G  5.0
274,149.196,1.0,1,75 3d7.(2D1).4d 3D  1.0
275,149.2466,2.0,1,75 3d7.(2D1).4d 3D  2.0
276,149.4042,3.0,1,70 3d7.(2D1).4d 3D  3.0
277,149.7856,2.0,1,45 3d7.(2D1).4d 1D  2.0
278,149.9464,3.0,1,48 3d7.(2D1).4d 1F  3.0
279,150.0973,2.0,1,45 3d7.(2D1).4d 3F  2.0
280,150.1892,3.0,1,53 3d7.(2D1).4d 3F  3.0
281,150.2576,4.0,1,77 3d7.(2D1).4d 3F  4.0
282,150.5251,2.0,1,73 3d7.(2D1).4d 3P  2.0
283,150.5311,0.0,1,75 3d7.(2D1).4d 3P  0.0
284,150.5429,1.0,1,74 3d7.(2D1).4d 3P  1.0
285,150.7863,4.0,1,75 3d7.(2D1).4d 1G  4.0
286,159.8632,0.0,1,88 3d7.(2D1).4d 1S  0.0
287,166.8384,1.0,1,80 3d7.(2D1).6s 3D  1.0
288,166.9008,2.0,1,64 3d7.(2D1).6s 3D  2.0
289,167.2397,3.0,1,77 3d7.(2D1).6s 3D  3.0
290,167.3921,2.0,1,62 3d7.(2D1).6s 1D  2.0
291,45.1254,5.0,0,96 3d7.(4F).4p 5F*  5.0
292,45.3481,4.0,0,58 3d7.(4F).4p 5F*  4.0
293,45.9734,3.0,0,74 3d7.(4F).4p 5F*  3.0
294,46.252,4.0,0,57 3d7.(4F).4p 5D*  4.0
295,46.4771,2.0,0,86 3d7.(4F).4p 5F*  2.0
296,46.8254,1.0,0,95 3d7.(4F).4p 5F*  1.0
297,46.9586,6.0,0,100 3d7.(4F).4p 5G*  6.0
298,47.0022,3.0,0,72 3d7.(4F).4p 5D*  3.0
299,47.3292,5.0,0,83 3d7.(4F).4p 5G*  5.0
300,47.5305,2.0,0,83 3d7.(4F).4p 5D*  2.0
301,47.8035,4.0,0,88 3d7.(4F).4p 5G*  4.0
302,47.8649,1.0,0,90 3d7.(4F).4p 5D*  1.0
303,48.0243,0.0,0,94 3d7.(4F).4p 5D*  0.0
304,48.166,3.0,0,93 3d7.(4F).4p 5G*  3.0
305,48.4203,2.0,0,97 3d7.(4F).4p 5G*  2.0
306,48.8014,5.0,0,85 3d7.(4F).4p 3G*  5.0
307,49.5208,4.0,0,63 3d7.(4F).4p 3F*  4.0
308,49.8863,4.0,0,60 3d7.(4F).4p 3G*  4.0
309,50.3001,3.0,0,53 3d7.(4F).4p 3F*  3.0
310,50.5698,3.0,0,56 3d7.(4F).4p 3G*  3.0
311,51.0306,2.0,0,92 3d7.(4F).4p 3F*  2.0
312,51.5478,3.0,0,89 3d7.(4F).4p 3D*  3.0
313,52.3141,2.0,0,93 3d7.(4F).4p 3D*  2.0
314,52.7985,1.0,0,95 3d7.(4F).4p 3D*  1.0
315,56.3273,2.0,0,99 3d7.(4P).4p 5S*  2.0
316,61.1902,3.0,0,89 3d7.(4P).4p 5D*  3.0
317,61.2463,2.0,0,88 3d7.(4P).4p 5D*  2.0
318,61.2716,4.0,0,95 3d7.(4P).4p 5D*  4.0
319,61.3603,1.0,0,87 3d7.(4P).4p 5D*  1.0
320,61.4826,0.0,0,92 3d7.(4P).4p 5D*  0.0
321,62.5461,1.0,0,52 3d7.(4P).4p 3S*  1.0
322,63.2075,3.0,0,94 3d7.(4P).4p 5P*  3.0
323,63.2812,5.0,0,74 3d7.(2G).4p 3H*  5.0
324,63.2992,2.0,0,90 3d7.(4P).4p 5P*  2.0
325,63.3775,4.0,0,74 3d7.(2G).4p 3F*  4.0
326,63.4968,6.0,0,97 3d7.(2G).4p 3H*  6.0
327,63.6008,1.0,0,68 3d7.(4P).4p 5P*  1.0
328,63.7692,4.0,0,87 3d7.(2G).4p 3H*  4.0
329,63.8276,3.0,0,89 3d7.(4P).4p 3D*  3.0
330,63.8764,2.0,0,76 3d7.(4P).4p 3D*  2.0
331,64.1649,3.0,0,86 3d7.(2G).4p 3F*  3.0
332,64.1869,1.0,0,82 3d7.(4P).4p 3D*  1.0
333,64.4842,4.0,0,47 3d7.(2G).4p 1G*  4.0
334,64.5455,5.0,0,83 3d7.(2G).4p 3G*  5.0
335,64.7919,2.0,0,95 3d7.(2G).4p 3F*  2.0
336,65.0152,5.0,0,70 3d7.(2G).4p 1H*  5.0
337,65.1223,0.0,0,56 3d7.(2P).4p 3P*  0.0
338,65.1459,3.0,0,90 3d7.(2G).4p 3G*  3.0
339,65.2251,4.0,0,61 3d7.(2G).4p 3G*  4.0
340,65.2446,2.0,0,54 3d7.(4P).4p 3P*  2.0
341,65.5144,1.0,0,65 3d7.(2P).4p 3P*  1.0
342,65.8773,2.0,0,38 3d7.(2P).4p 3P*  2.0
343,65.9538,3.0,0,76 3d7.(2G).4p 1F*  3.0
344,65.9623,0.0,0,67 3d7.(4P).4p 3P*  0.0
345,65.9788,1.0,0,89 3d7.(4P).4p 3P*  1.0
346,67.6593,2.0,0,39 3d7.(2P).4p 1D*  2.0
347,67.8432,3.0,0,82 3d7.(2P).4p 3D*  3.0
348,68.1223,1.0,0,61 3d7.(2P).4p 3D*  1.0
349,68.305,2.0,0,53 3d7.(2P).4p 3D*  2.0
350,68.3135,5.0,0,95 3d7.(2H).4p 3G*  5.0
351,68.6592,6.0,0,73 3d7.(2H).4p 3I*  6.0
352,68.8533,3.0,0,68 3d7.(2D2).4p 3D*  3.0
353,68.8558,7.0,0,100 3d7.(2H).4p 3I*  7.0
354,68.9436,4.0,0,92 3d7.(2H).4p 3G*  4.0
355,68.9554,0.0,0,84 3d7.(2P).4p 1S*  0.0
356,69.1693,5.0,0,97 3d7.(2H).4p 3I*  5.0
