lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
1,110,513.3304,21918.0379,4.5,4.5,581,21404.7075,21404.7059,0.0009,-0.0016,4.2e+04,7.7e+04,1.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 110 21.9677 4f3.(4I*).5d2.(3P) 4H* 4.5
1,186,513.3304,26369.0374,4.5,3.5,687,25855.7070,25855.7078,0.0012,0.0008,3.9e+04,7.3e+04,3.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 186 26.4439 4f3.(4F*).5d.(2D).(5F*).6s 6F* 3.5
1,122,513.3304,23171.0909,4.5,4.5,302,22657.7604,22657.7284,0.0012,-0.0320,3.9e+04,7.3e+04,1.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 122 23.2177 4f3.(4I*).5d.(2D).(3G*).6s 2G* 4.5
1,187,513.3304,26500.3796,4.5,5.5,233,25987.0492,25987.0436,0.0021,-0.0056,3.7e+04,2.7e+04,3.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 187 26.4806 4f3.(4F*).5d.(2D).(5G*).6s 6G* 5.5
1,149,513.3304,25138.5246,4.5,3.5,50,24625.1942,24625.2038,0.0038,0.0097,3.6e+04,1.2e+04,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 149 25.0259 4f4.(5I).6p 6I* 3.5
1,189,513.3304,26473.2449,4.5,4.5,66,25959.9145,25959.9146,0.0014,0.0001,3.2e+04,4.5e+03,2.7e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 189 26.5000 4f3.(4F*).5d.(2D).(5F*).6s 6F* 4.5
1,141,513.3304,24467.9971,4.5,3.5,240,23954.6667,23954.6743,0.0009,0.0077,3.2e+04,3.9e+04,1.6e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 141 24.6183 4f3.(4I*).5d2.(1G) 4G* 3.5
1,131,513.3304,23857.2452,4.5,5.5,394,23343.9148,23343.9140,0.0010,-0.0008,2.9e+04,6.7e+04,1.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 131 23.8482 4f3.(4I*).5d2.(3P) 4H* 5.5
1,207,513.3304,26994.3034,4.5,4.5,73,26480.9730,26480.9876,0.0015,0.0146,2.9e+04,5.5e+03,2.8e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 207 27.1259 4f3.(4F*).5d2.(3F) 6D* 4.5
1,127,513.3304,23537.3653,4.5,4.5,388,23024.0349,23024.0347,0.0010,-0.0002,2.8e+04,5.6e+04,1.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 127 23.4928 4f3.(4I*).5d2.(3F) 2G* 4.5
1,340,513.3304,31032.2976,4.5,3.5,45,30518.9672,30518.9661,0.0024,-0.0012,2.7e+04,4.9e+03,7.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
1,320,513.3304,30552.4608,4.5,3.5,169,30039.1304,30039.1086,0.0022,-0.0218,2.5e+04,1.6e+04,6.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 320 30.6369 4f3.(4F*).5d2.(3F) 4F* 3.5
1,195,513.3304,26670.5585,4.5,4.5,159,26157.2281,26157.2248,0.0013,-0.0033,2.4e+04,1.7e+04,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 195 26.7393 4f3.(4F*).5d.(2D).(5G*).6s 4G* 4.5
1,197,513.3304,26759.2099,4.5,3.5,1252,26245.8795,26245.8897,0.0022,0.0102,2.3e+04,1.1e+05,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
1,239,513.3304,28170.4292,4.5,4.5,217,27657.0987,27657.1017,0.0013,0.0029,1.9e+04,1.6e+04,2.5e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 239 28.1385 4f3.(4F*).5d2.(3F) 6F* 4.5
1,232,513.3304,27921.3645,4.5,4.5,46,27408.0341,27408.0299,0.0022,-0.0041,1.8e+04,3.3e+03,2.9e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 232 27.9712 4f4.(5I).6p 4I* 4.5
1,218,513.3304,27424.9824,4.5,4.5,714,26911.6520,26911.6620,0.0013,0.0100,1.7e+04,6.3e+04,2.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 218 27.4892 4f3.(4S*).5d.(2D).(5D*).6s 6D* 4.5
1,183,513.3304,26380.7009,4.5,4.5,166,25867.3705,25867.3627,0.0021,-0.0078,1.5e+04,1.9e+04,1.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 183 26.3586 4f3.(4F*).5d.(2D).(5G*).6s 4G* 4.5
1,254,513.3304,28582.5843,4.5,5.5,143,28069.2539,28069.2536,0.0014,-0.0002,1.5e+04,1.4e+04,2.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 254 28.5727 4f3.(4G*).5d2.(3F) 6K* 5.5
1,313,513.3304,30453.2995,4.5,3.5,488,29939.9691,29939.9700,0.0013,0.0009,1.5e+04,4.0e+04,3.5e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 313 30.4709 4f3.(4G*).5d2.(3F) 6H* 3.5
1,201,513.3304,26926.9675,4.5,4.5,662,26413.6371,26413.6394,0.0012,0.0024,1.3e+04,4.9e+04,1.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 201 26.9800 4f3.(4G*).5d2.(3F) 6K* 4.5
1,269,513.3304,29079.8430,4.5,5.5,81,28566.5126,28566.5112,0.0016,-0.0014,9.5e+03,7.6e+03,1.5e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 269 29.0927 4f3.(2G1*).5d2.(3F) 4K* 5.5
1,267,513.3304,29043.4311,4.5,4.5,47,28530.1007,28530.0998,0.0021,-0.0009,8.3e+03,3.5e+03,1.7e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 267 29.0629 4f3.(4G*).5d2.(3F) 6I* 4.5
1,358,513.3304,31692.9660,4.5,4.5,13,31179.6356,31179.6422,0.0157,0.0066,8.3e+03,2.1e+03,2.7e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 358 31.7851 4f3.(4G*).5d.(2D).(5H*).6s 6H* 4.5
