lev_id,E_calc,J,P,lev_name
323,46.305,4,0,46305.000  1.005 4f4  _1G1G3 4.0
324,46.374,1,1,46374.001  0.568 4f35d~4D5F  1.0
325,46.508,6,1,46507.999  1.178 4f36s~2H3H2 6.0
326,46.55,3,1,46549.999  1.285 4f35d~4D5D  3.0
327,46.558,3,0,46557.999  1.055 4f4  _1F1F  3.0
328,46.569,5,1,46569.000  1.040 4f35d~4G3H  5.0
329,46.631,2,1,46631.001  0.806 4f35d~2D3F1 2.0
330,46.668,2,0,46667.999  1.032 4f4  _1D1D2 2.0
331,46.717,2,1,46716.999  0.492 4f36s~4G5G  2.0
332,46.872,5,1,46872.002  0.977 4f36s~2H1H2 5.0
333,46.922,8,1,46922.001  0.909 4f35d~2L3M  8.0
334,46.972,2,1,46972.000  0.901 4f35d~4D5F  2.0
335,47.001,7,1,47000.999  1.032 4f35d~2I3K  7.0
336,47.031,6,1,47030.998  1.134 4f35d~4G3H  6.0
337,47.039,3,1,47039.001  0.945 4f36s~4G5G  3.0
338,47.173,5,1,47173.000  0.984 4f36s~2H1H2 5.0
339,47.237,4,1,47237.000  1.284 4f35d~4D5F  4.0
340,47.335,3,1,47334.999  1.155 4f35d~4D5D  3.0
341,47.441,4,1,47441.002  1.171 4f36s~4G5G  4.0
342,47.701,4,1,47701.000  1.172 4f35d~4D5G  4.0
343,47.831,9,1,47831.001  1.016 4f35d~2L3M  9.0
344,47.897,3,1,47896.999  0.769 4f36s~4G3G  3.0
345,48.056,7,1,48056.000  0.938 4f35d~2L3L  7.0
346,48.095,5,1,48095.001  1.356 4f35d~4D5F  5.0
347,48.111,8,1,48111.000  1.100 4f35d~2I3K  8.0
348,48.147,4,1,48146.999  1.066 4f35d~2P3F  4.0
349,48.151,3,1,48151.001  1.213 4f35d~2P3D  3.0
350,48.222,6,1,48222.000  1.013 4f35d~2I3I  6.0
351,48.564,5,1,48563.999  1.286 4f35d~4D5G  5.0
352,48.729,3,1,48729.000  1.010 4f35d~2D1F1 3.0
353,48.849,7,1,48848.999  0.988 4f35d~2I3L  7.0
354,48.971,10,1,48971.001  1.098 4f35d~2L3M 10.0
355,48.98,4,1,48980.000  1.123 4f35d~4D5D  4.0
356,49.042,2,1,49042.000  0.742 4f35d~4D3F  2.0
357,49.089,1,1,49089.001  0.927 4f35d~2D1P1 1.0
358,49.323,3,0,49323.002  1.263 4f4  _3D3D2 3.0
359,49.361,3,1,49361.000  1.095 4f35d~4D3F  3.0
360,49.372,0,1,49372.002  0.000 4f35d~2D1S2 0.0
361,49.373,6,1,49373.001  0.876 4f35d~2L3K  6.0
362,49.404,4,1,49403.999  1.096 4f36s~4G5G  4.0
363,49.485,3,1,49485.001  0.797 4f36s~4G3G  3.0
364,49.513,8,1,49513.000  1.043 4f35d~2L3L  8.0
365,49.573,7,1,49573.002  1.036 4f35d~2I3I  7.0
366,49.578,5,1,49577.999  1.213 4f36s~4G5G  5.0
