wn_obs,wn_obs_unc,I_obs,snr_obs
17.492221742,1.4660677326e-05,1024.5531174,6.1539046585
17.493099605,1.5736268697e-05,584.78959598,4.8530052967
17.493560785,1.9358956673e-05,3172.0950076,11.008387371
17.494206455,8.3843077351e-06,440.46373231,6.4669000204
17.49492902,1.379773829e-05,1375.6462084,7.2367947882
17.495398181,1.1783079918e-05,1303.9104352,7.7226605243
17.495769158,1.336275379e-05,407.18128422,5.6285555118
17.49613386,6.817334106e-06,3843.4424609,14.313427121
17.496494369,1.0274383563e-05,3399.529353,12.024846089
17.497011901,2.3597310689e-05,1191.1951743,4.7249412456
17.497366234,1.0945785811e-05,1436.551393,8.3934792246
17.498262501,1.7944211278e-05,478.03986277,3.9605951544
17.499033182,4.3610848347e-06,8007.0673666,44.469999956
17.499711828,1.9692133125e-05,446.54295649,3.7180487021
17.500332649,1.6537889724e-05,1777.3457212,6.8426360886
17.502388796,1.2691624146e-05,1179.8320084,7.1064452924
17.503520657,1.5093267802e-05,4223.0727765,9.7276076481
17.503947644,6.1910087961e-06,70.65711029,4.487970069
17.504662127,1.362970037e-05,1152.6394686,6.7243081429
17.50558867,7.8028594481e-06,2534.8392668,12.108008132
17.506899096,1.2450195992e-05,546.29119459,5.6283767798
17.50722509,3.9114060145e-06,5189.2736669,25.058947082
17.507827451,6.6556712172e-06,6012.2426475,28.387022603
17.508610433,1.7298417855e-05,1471.8721672,6.2391695394
17.509254149,2.0129329891e-05,1718.8336016,5.9423547232
17.510920153,1.5585711164e-05,1701.7194605,7.016316845
17.511268947,8.3518624063e-06,1250.3191139,9.5826308423
17.513060071,1.2109245199e-05,3721.6108098,10.064166266
17.513590428,2.0071233915e-06,81778.560584,532.39999947
17.514033663,9.7096862208e-06,4370.595282,20.737770213
17.515018237,8.3983991403e-06,4433.1345203,13.483847218
17.516375494,4.847537276e-06,11649.868367,46.022002617
17.518519004,1.5856971776e-05,1317.3669529,6.3634909442
17.519925465,1.9298128656e-06,43994.832736,266.72566742
17.52034982,8.4716023847e-06,1822.6581037,8.224030668
17.52291277,6.8503770477e-06,3805.2328784,23.10360491
17.523325373,1.5604959529e-05,1481.7769677,9.5892356426
17.524932279,2.1126986988e-05,3363.6909653,11.356466211
17.525661956,1.3693793888e-05,4888.7585577,17.082462404
17.528185636,6.4256801461e-06,2587.601442,13.272933269
17.528491186,2.86879679e-05,1125.9757486,3.4779034046
17.529062219,1.3890225676e-05,1803.5951875,7.7289562845
17.529656069,1.5711806546e-05,1449.1982828,6.6138353868
17.530382152,2.337553664e-05,1585.3405438,5.2342410262
17.531301712,1.1314862482e-05,2696.2847979,9.1089952269
17.531608628,3.8567503805e-06,2611.7619686,21.032796573
17.532113051,2.2017553782e-06,54608.322747,281.00000028
17.533096707,2.7073781953e-05,752.06915266,3.6274205349
17.534155625,4.6742837784e-06,6627.7648628,36.964584614
17.535950131,3.2364905651e-05,3347.0921759,8.6069999914
17.536560075,1.0972835113e-05,584.81623917,6.37533743
17.536857583,1.9935785587e-05,493.96962611,3.9633462513
17.537123215,2.0946826941e-05,679.54215974,4.1589131036
17.537590728,3.1699880969e-05,1088.3871522,3.2462677928
17.539797312,7.5484820643e-06,4221.3443921,22.551644014
17.540785589,1.3905506798e-05,915.98825731,6.1436135258
17.542317411,1.2395981761e-06,15865.970135,136.89398068
17.543072311,2.6571748807e-05,1298.1127596,5.49422326
17.544667375,3.5627078697e-05,967.72864737,5.0160758888
17.545305316,2.0707345743e-05,996.78545119,5.5352108131
17.545493938,1.213450669e-05,473.30558189,5.1390385484
17.545989812,1.9345823845e-05,1782.0658376,9.0626281934
17.546500509,2.074387748e-05,1563.73864,6.2114443166
17.547070106,3.0288576136e-06,3825.8383836,27.428716354
17.547422188,1.5674645349e-05,5599.0651194,15.371820735
17.547842094,7.0978696602e-06,6196.0986694,28.798168857
17.549805726,3.5287380252e-05,976.61571054,4.5346379096
17.550153293,2.6909355857e-05,1277.1492783,5.1250669311
17.551020064,3.2464807955e-06,4088.6150186,26.992022487
17.552173526,2.0168776088e-05,1709.7132332,4.9479382247
17.55251091,1.0986648062e-05,2001.3890353,13.646524417
17.553673907,9.5656731672e-06,6304.2675568,21.79836565
17.553814948,9.8024848237e-06,1773.913641,14.344
17.554518015,2.125183691e-05,1826.2926272,5.8523070224
17.55537111,3.3421368856e-05,736.64898783,3.3283094885
17.557725372,1.6041010996e-05,2032.454456,10.52302659
17.558527911,1.5254271688e-05,1087.7407763,6.7419698822
17.559682355,1.8470896821e-05,1211.735913,5.596256116
17.560864526,2.2577678726e-05,4490.8142939,11.451446812
17.562356405,1.0258466971e-05,105.5085726,3.6735
17.563463637,2.5328030968e-05,1356.8786132,4.5850239723
17.564364652,4.1937366758e-06,5147.8123489,23.133666951
17.56550002,1.1324207024e-05,881.14284451,6.9545028158
17.565983284,1.7562164329e-05,770.32814609,5.2633349394
17.566521653,1.9869387888e-05,4986.2439283,12.873227732
17.567460729,2.4846735294e-05,1169.060117,6.8760047243
17.568136685,2.4991469032e-05,1377.0972318,5.3827919605
17.569080749,3.7849747382e-06,9235.6203642,49.852820199
17.569917347,2.0899830302e-06,4226.3251057,39.065404082
17.571177373,8.7581040475e-06,1410.0629784,15.431456818
17.57137751,3.4862667566e-06,13005.941986,57.4661352
17.572696515,1.0454372433e-05,8844.9576785,23.761127133
17.574405894,1.239301688e-06,109928.03405,994.63060916
17.575318156,1.623266584e-05,1656.5827323,10.77418705
17.57636481,1.6948329128e-05,4799.0696404,14.194324959
17.576687719,1.0069331493e-05,725.36172361,7.115905482
17.579680906,1.5175975225e-05,3075.8475003,12.941154856
17.580195576,1.8529977414e-06,8808.0057197,56.419598679
17.580544421,1.589345444e-05,4182.5109453,13.88104326
17.581105562,4.5999646976e-05,598.0189702,2.7040985872
17.581942803,2.4161261438e-05,942.55451422,4.1180056601
17.58380392,2.5193072949e-05,1364.0250031,4.5002180439
17.585130669,1.2116037474e-05,1750.7119811,8.3958412556
17.585807417,2.1381254711e-05,1607.4162181,5.646855195
17.586510118,2.1418316998e-05,1604.527655,5.2732731476
17.587152703,2.618656844e-05,911.46715495,4.5975545608
17.587648533,9.9029128454e-06,1484.0213938,9.0840534138
17.588400776,1.9929590556e-05,1096.7579105,5.1554392731
17.589457236,2.3019216642e-05,810.3305504,4.1374985756
17.589965242,1.6360158137e-05,1926.9522012,7.0878156729
17.590383041,1.1751531183e-05,743.99853501,6.4726522425
17.590745948,1.0502651945e-05,4637.8040791,19.031335563
17.591152347,1.1720716979e-05,2710.2138258,15.818146033
17.592816003,2.8474630009e-05,2138.8107648,5.0856356767
17.594161705,1.1921037523e-05,403.84599047,5.3533880161
17.594583891,1.3677029094e-05,3115.28755,13.595042611
17.594916496,9.5725852238e-06,4320.5069442,19.599621722
17.595435632,1.0655349391e-05,1580.7214458,8.83943396
17.595899547,1.317389977e-05,453.69815043,5.0182485086
17.596942861,7.6284131442e-06,5308.4130177,25.229845399
17.59766029,1.6981206963e-05,1149.9734804,7.3598151012
17.597951098,2.5545334038e-05,1343.5814256,4.842012294
17.598583942,1.1008458544e-05,1959.2907147,9.3007563993
17.599571099,2.1744684435e-05,603.58926663,3.9721695738
17.599951299,2.1653283435e-05,1124.7317401,4.9165031059
17.600969489,1.8252655513e-05,467.26139649,4.6623823077
17.601286989,1.2904379065e-05,2226.871218,8.734305879
17.601912387,8.7179767482e-06,4701.8662942,21.925731348
17.60229372,2.0777310308e-05,2566.3300029,10.214768855
17.603830155,1.5822589017e-05,865.6834392,5.5424998762
17.604594734,1.3938220241e-05,2299.8317216,8.387865543
17.606282823,1.5206702448e-05,1210.8875724,6.3756580943
17.607125993,1.8284795336e-05,4307.3212005,12.722982827
17.60756328,1.1973928968e-06,10257.292438,108.41595989
17.608696584,1.1578876089e-05,1507.2345228,8.2316889486
17.608936195,1.2859207434e-05,1062.6864487,6.8683481708
17.609518002,2.031962283e-06,19852.184963,119.16442938
17.611093759,1.0635773921e-05,4472.7666631,18.466936205
17.612129473,2.681049359e-06,15408.516803,74.601205423
17.61248113,1.4342916671e-05,891.55796842,7.0052241437
17.613251142,1.2905921997e-06,53354.303928,343.40022475
17.613744992,3.4404016332e-06,9979.0483593,56.029094952
17.613872979,1.9182939287e-06,9430.8626795,67.52300962
