lev_id,E_calc,J,P,lev_name
155,25.2493,7.5,-1,id 155 25.2493 4f3.(4F*).5d.(2D).(5H*).6s 6H* 7.5
156,25.2719,8.5,-1,id 156 25.2719 4f3.(4I*).5d2.(3P) 4K* 8.5
157,25.3025,3.5,-1,id 157 25.3025 4f4.(5I).6p 6I* 3.5
158,25.3232,6.5,-1,id 158 25.3232 4f3.(4F*).5d2.(3F) 6H* 6.5
159,25.3669,7.5,-1,id 159 25.3669 4f3.(4F*).5d2.(3F) 6I* 7.5
160,25.3764,4.5,-1,id 160 25.3764 4f3.(4F*).5d.(2D).(5G*).6s 6G* 4.5
161,25.38,5.5,-1,id 161 25.3800 4f3.(4S*).5d2.(3F) 6F* 5.5
162,25.4528,5.5,-1,id 162 25.4528 4f3.(4I*).5d2.(1D) 4H* 5.5
163,25.508,5.5,-1,id 163 25.5080 4f3.(4S*).5d2.(3F) 6F* 5.5
164,25.5432,6.5,-1,id 164 25.5432 4f4.(5I).6p 6K* 6.5
165,25.6041,8.5,-1,id 165 25.6041 4f3.(4I*).5d2.(1G) 4K* 8.5
166,25.6974,3.5,-1,id 166 25.6974 4f3.(4F*).5d.(2D).(5D*).6s 4D* 3.5
167,25.7418,4.5,-1,id 167 25.7418 4f4.(5I).6p 6I* 4.5
168,25.7863,2.5,-1,id 168 25.7863 4f4.(5I).6p 6H* 2.5
169,25.8458,2.5,-1,id 169 25.8458 4f3.(4F*).5d.(2D).(5F*).6s 6F* 2.5
170,25.882,4.5,-1,id 170 25.8820 4f3.(4F*).5d2.(3F) 6G* 4.5
171,25.9068,3.5,-1,id 171 25.9068 4f3.(4F*).5d.(2D).(5G*).6s 4G* 3.5
172,25.9749,7.5,-1,id 172 25.9749 4f3.(4I*).5d2.(1G) 4I* 7.5
173,26.0469,7.5,-1,id 173 26.0469 4f3.(4I*).5d2.(1G) 4I* 7.5
174,26.0524,2.5,-1,id 174 26.0524 4f4.(5I).6p 6H* 2.5
175,26.1218,6.5,-1,id 175 26.1218 4f4.(5I).6p 6K* 6.5
176,26.1732,2.5,-1,id 176 26.1732 4f3.(4F*).5d.(2D).(5F*).6s 6F* 2.5
177,26.1758,5.5,-1,id 177 26.1758 4f4.(5I).6p 4K* 5.5
178,26.1798,4.5,-1,id 178 26.1798 4f4.(5I).6p 6I* 4.5
179,26.1962,3.5,-1,id 179 26.1962 4f4.(5I).6p 6H* 3.5
180,26.218,2.5,-1,id 180 26.2180 4f3.(4S*).5d2.(3F) 6F* 2.5
181,26.2508,5.5,-1,id 181 26.2508 4f3.(4F*).5d.(2D).(5G*).6s 6G* 5.5
182,26.2807,4.5,-1,id 182 26.2807 4f3.(4I*).5d2.(1G) 4G* 4.5
183,26.3586,4.5,-1,id 183 26.3586 4f3.(4F*).5d.(2D).(5G*).6s 4G* 4.5
184,26.3715,6.5,-1,id 184 26.3715 4f3.(4F*).5d2.(3F) 6G* 6.5
185,26.4136,3.5,-1,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
186,26.4439,3.5,-1,id 186 26.4439 4f3.(4F*).5d.(2D).(5F*).6s 6F* 3.5
187,26.4806,5.5,-1,id 187 26.4806 4f3.(4F*).5d.(2D).(5G*).6s 6G* 5.5
188,26.4966,7.5,-1,id 188 26.4966 4f3.(4F*).5d2.(3F) 6H* 7.5
189,26.5,4.5,-1,id 189 26.5000 4f3.(4F*).5d.(2D).(5F*).6s 6F* 4.5
190,26.5109,6.5,-1,id 190 26.5109 4f3.(4F*).5d.(2D).(5H*).6s 4H* 6.5
191,26.5927,8.5,-1,id 191 26.5927 4f3.(4F*).5d2.(3F) 6I* 8.5
192,26.6607,3.5,-1,id 192 26.6607 4f4.(5I).6p 6H* 3.5
193,26.7139,5.5,-1,id 193 26.7139 4f4.(5I).6p 6I* 5.5
194,26.7295,5.5,-1,id 194 26.7295 4f4.(5I).6p 6I* 5.5
195,26.7393,4.5,-1,id 195 26.7393 4f3.(4F*).5d.(2D).(5G*).6s 4G* 4.5
196,26.7418,6.5,-1,id 196 26.7418 4f3.(4I*).5d2.(3P) 4I* 6.5
197,26.8439,3.5,-1,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
198,26.8449,4.5,-1,id 198 26.8449 4f3.(4I*).5d2.(1G) 4G* 4.5
199,26.9222,7.5,-1,id 199 26.9222 4f4.(5I).6p 6K* 7.5
200,26.9224,8.5,-1,id 200 26.9224 4f3.(4I*).5d2.(1D) 4L* 8.5
201,26.98,4.5,-1,id 201 26.9800 4f3.(4G*).5d2.(3F) 6K* 4.5
202,27.0141,3.5,-1,id 202 27.0141 4f3.(4F*).5d.(2D).(5D*).6s 6D* 3.5
203,27.0468,5.5,-1,id 203 27.0468 4f3.(4F*).5d.(2D).(5F*).6s 6F* 5.5
204,27.0607,4.5,-1,id 204 27.0607 4f3.(4G*).5d2.(3F) 6K* 4.5
205,27.0898,7.5,-1,id 205 27.0898 4f3.(2H2*).5d2.(3F) 4L* 7.5
206,27.1252,6.5,-1,id 206 27.1252 4f3.(4F*).5d2.(3F) 6G* 6.5
207,27.1259,4.5,-1,id 207 27.1259 4f3.(4F*).5d2.(3F) 6D* 4.5
208,27.1904,4.5,-1,id 208 27.1904 4f3.(4F*).5d.(2D).(5F*).6s 6F* 4.5
209,27.2157,5.5,-1,id 209 27.2157 4f3.(4G*).5d2.(3F) 6K* 5.5
